"","MOU","CAN","AMW","BAR","CAR","FOS","HIL","HOL","HOM","LAV","LAW","PRK","QUA","ROO","US2","ZIO","BUC","EVE","JUN","ROY","VAN","OLD","WES","CEM"
"Agapostemon_virescens",0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_banski",0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_carlini",0.0133333333333333,0.00588235294117647,0.00588235294117647,0.00714285714285714,0.00606060606060606,0.01875,0.00769230769230769,0.00526315789473684,0.0176470588235294,0.0357142857142857,0.00526315789473684,0.00833333333333333,0.0285714285714286,0.0235294117647059,0.01,0.01,0,0,0,0,0,0,0,0
"Andrena_cressonii",0,0.0176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_erigeniae",0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_hippotes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
"Andrena_imitatrix",0,0,0.00588235294117647,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0
"Andrena_mandibularis",0,0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_miserabilis",0,0,0.0176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_nasonii",0.00666666666666667,0.0117647058823529,0,0,0,0.0125,0,0,0.00588235294117647,0.0142857142857143,0.00526315789473684,0,0.0142857142857143,0.00588235294117647,0,0,0.0142857142857143,0.00833333333333333,0.01875,0.0153846153846154,0.00666666666666667,0,0,0
"Andrena_pruni",0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
"Andrena_robertsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0
"Andrena_vicina",0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_violae",0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena_wilkella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0
"Augochlora_pura",0.0466666666666667,0.00588235294117647,0,0.00714285714285714,0,0,0.0384615384615385,0,0.0176470588235294,0.00714285714285714,0.00526315789473684,0.0916666666666667,0.0142857142857143,0.0294117647058824,0.015,0.01,0.0571428571428571,0.266666666666667,0.01875,0.0384615384615385,0,0.00526315789473684,0.00769230769230769,0
"Augochlorella_aurata",0.0533333333333333,0.0882352941176471,0,0.0214285714285714,0,0.00625,0.0538461538461538,0.115789473684211,0,0.0285714285714286,0.0315789473684211,0,0.0642857142857143,0.0117647058823529,0.05,0.005,0.00714285714285714,0.00833333333333333,0,0.00769230769230769,0.04,0.00526315789473684,0.0923076923076923,0.0384615384615385
"Augochloropsis_metallica",0,0,0,0,0,0,0.00769230769230769,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0
"Bombus_bimaculatus",0.0133333333333333,0,0.0117647058823529,0,0.00606060606060606,0.00625,0.0230769230769231,0.0157894736842105,0.00588235294117647,0.00714285714285714,0,0,0,0.0176470588235294,0.005,0.02,0.00714285714285714,0.00833333333333333,0.00625,0,0,0.00526315789473684,0,0
"Bombus_fervidus",0,0,0,0,0.00606060606060606,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.00526315789473684,0,0.00769230769230769
"Bombus_griseocollis",0.00666666666666667,0,0,0,0,0,0,0.00526315789473684,0.0117647058823529,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,0.00769230769230769
"Bombus_impatiens",0,0.00588235294117647,0,0.00714285714285714,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0.005,0,0,0.0125,0,0,0,0,0
"Bombus_perplexus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
"Bombylius_major",0.02,0,0,0,0.0181818181818182,0.03125,0,0.0105263157894737,0.00588235294117647,0.0214285714285714,0.0105263157894737,0.0333333333333333,0.00714285714285714,0,0.06,0.025,0.0142857142857143,0,0.01875,0,0,0,0.00769230769230769,0
"Ceratina_calcarata",0.0466666666666667,0.117647058823529,0.123529411764706,0.0214285714285714,0.00606060606060606,0.05,0.0846153846153846,0.0368421052631579,0.0176470588235294,0.0571428571428571,0.0315789473684211,0.0333333333333333,0.0571428571428571,0.0529411764705882,0.115,0.02,0.107142857142857,0.25,0.03125,0.0461538461538462,0.126666666666667,0.163157894736842,0.00769230769230769,0.0307692307692308
"Ceratina_dupla",0,0.00588235294117647,0.00588235294117647,0.00714285714285714,0.0363636363636364,0.0125,0.138461538461538,0.0210526315789474,0.00588235294117647,0.0285714285714286,0.0789473684210526,0,0.0285714285714286,0,0.01,0.01,0.121428571428571,0.00833333333333333,0.08125,0.0769230769230769,0.0266666666666667,0.0210526315789474,0.00769230769230769,0.00769230769230769
"Ceratina_mikmaqi",0,0,0,0,0.0545454545454545,0,0.0615384615384615,0.0263157894736842,0,0.0214285714285714,0,0,0.0357142857142857,0,0.165,0,0.0285714285714286,0,0.025,0.0461538461538462,0,0,0.00769230769230769,0
"Ceratina_strenua",0,0.0176470588235294,0,0.00714285714285714,0,0.05,0.692307692307692,0.0263157894736842,0,0.0285714285714286,0.068421052631579,0.00833333333333333,0.0714285714285714,0.00588235294117647,0.055,0.01,0.171428571428571,0.075,0.03125,0.0307692307692308,0.0533333333333333,0.0368421052631579,0.253846153846154,0.0230769230769231
"Colletes_inaequalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117647058823529,0,0,0,0,0,0,0,0,0,0
"Halictus_confusus",0,0.0176470588235294,0,0.00714285714285714,0,0,0,0,0.0117647058823529,0,0.00526315789473684,0,0.00714285714285714,0.0117647058823529,0,0.01,0,0,0.025,0,0,0.00526315789473684,0,0
"Halictus_ligatus",0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus_rubicundus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0
"Hoplitis_pilosifrons",0,0,0,0,0.00606060606060606,0,0,0.00526315789473684,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoplitis_simplex",0,0,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus_affinis",0,0,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus_mesillae",0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0.00769230769230769
"Hylaeus_modestus_seeTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0
"Lasioglossum_abanci",0,0,0.0117647058823529,0,0,0,0.00769230769230769,0,0,0.00714285714285714,0,0.0416666666666667,0,0.0117647058823529,0,0,0,0.0166666666666667,0,0.00769230769230769,0.00666666666666667,0.00526315789473684,0.00769230769230769,0
"Lasioglossum_atwoodi",0,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0.005,0,0.0285714285714286,0,0,0,0,0,0,0
"Lasioglossum_birkmanni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0
"Lasioglossum_callidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0
"Lasioglossum_cattellae",0,0,0,0,0,0,0,0,0.00588235294117647,0.0142857142857143,0,0,0,0,0,0,0,0,0.00625,0,0.00666666666666667,0.00526315789473684,0,0
"Lasioglossum_coriaceum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0
"Lasioglossum_cressonii",0.00666666666666667,0,0.00588235294117647,0,0,0,0.00769230769230769,0,0,0,0,0,0.0214285714285714,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_foxii",0.02,0.00588235294117647,0.00588235294117647,0,0,0.00625,0.00769230769230769,0,0,0.00714285714285714,0,0.00833333333333333,0.0142857142857143,0.0176470588235294,0.04,0.03,0.0285714285714286,0.00833333333333333,0.06875,0,0.00666666666666667,0,0,0.00769230769230769
"Lasioglossum_hitchensi",0,0.0176470588235294,0,0,0,0,0.00769230769230769,0.0105263157894737,0,0.00714285714285714,0,0,0.00714285714285714,0,0,0.01,0,0,0,0,0,0,0,0
"Lasioglossum_illinoense",0,0,0.0117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_imitatum",0,0,0,0,0,0,0,0.00526315789473684,0.0117647058823529,0,0,0,0.0357142857142857,0,0,0,0,0,0.0125,0,0.00666666666666667,0,0,0.0384615384615385
"Lasioglossum_leucocomum",0,0.0117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_nigroviride",0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_oblongum",0,0,0,0,0,0,0,0,0.00588235294117647,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0.00666666666666667,0,0,0
"Lasioglossum_obscurum",0,0,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0,0,0.00714285714285714,0,0,0,0,0.00526315789473684,0.00769230769230769,0
"Lasioglossum_paradmirandum",0.02,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0.0285714285714286,0,0,0,0,0,0.24375,0,0,0,0,0
"Lasioglossum_pilosum",0,0.0235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0,0
"Lasioglossum_quebecense",0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_subviridatum",0,0.0117647058823529,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0.00588235294117647,0,0,0.00714285714285714,0.025,0.00625,0.00769230769230769,0.02,0,0.00769230769230769,0
"Lasioglossum_taylorae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0
"Lasioglossum_tegulare",0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0,0.00625,0,0,0,0,0
"Lasioglossum_versatum",0.02,0.0235294117647059,0,0,0,0.00625,0.0307692307692308,0.0157894736842105,0.00588235294117647,0,0,0,0.0571428571428571,0,0,0.03,0.0428571428571429,0.00833333333333333,0.00625,0,0,0.00526315789473684,0.0307692307692308,0.00769230769230769
"Lasioglossum_zephyrum",0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0.00714285714285714,0,0,0,0,0.00526315789473684,0,0
"Lasioglossum_zonulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0
"Osmia_albiventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.0166666666666667,0,0,0,0,0.00769230769230769,0
"Osmia_atriventris",0.0133333333333333,0.00588235294117647,0,0.00714285714285714,0,0.00625,0.00769230769230769,0.0210526315789474,0,0.00714285714285714,0,0.025,0.0142857142857143,0.0294117647058824,0.025,0,0.0214285714285714,0.025,0.0125,0,0,0,0.00769230769230769,0.0153846153846154
"Osmia_bucephala",0.00666666666666667,0,0,0.0214285714285714,0,0,0.00769230769230769,0.00526315789473684,0,0,0,0,0,0,0.035,0.005,0.0357142857142857,0.0333333333333333,0,0,0,0.00526315789473684,0,0
"Osmia_collinsiae",0.00666666666666667,0,0,0.00714285714285714,0,0,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_conjuncta",0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0.005,0,0,0,0,0,0,0,0,0
"Osmia_cornifrons",0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0.00769230769230769,0,0,0,0
"Osmia_distincta",0.0333333333333333,0,0,0,0.00606060606060606,0.00625,0,0,0,0,0,0,0,0.00588235294117647,0.015,0.01,0,0,0.00625,0,0,0,0,0.0153846153846154
"Osmia_lignaria",0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia_pumila",0.0333333333333333,0.0235294117647059,0.0176470588235294,0.05,0,0.04375,0.0307692307692308,0.0315789473684211,0.0117647058823529,0.05,0.0210526315789474,0.075,0.0357142857142857,0.0294117647058824,0.055,0.035,0.05,0.0416666666666667,0.0125,0.0153846153846154,0.06,0.0315789473684211,0.0153846153846154,0
"Xylocopa_virginica",0.00666666666666667,0,0,0,0,0,0.0153846153846154,0,0,0.00714285714285714,0,0.00833333333333333,0.0214285714285714,0,0.005,0,0,0.00833333333333333,0,0,0,0,0.00769230769230769,0
